UBIGEO,DEPARTAMENTO,PROVINCIA,PROVINCIA,DISTRITO,DISTRITO,mean,percentile_10,percentile_90,risk_index,risk_flag
210502,21,05,EL COLLAO,02,CAPAZO,-5.241691795555321,-6.473969459533691,-3.8835837841033936,11.473969459533691,1
230406,23,04,TARATA,06,SUSAPAYA,-5.057249589399858,-8.49563217163086,-0.7737599015235901,13.49563217163086,1
210504,21,05,EL COLLAO,04,SANTA ROSA,-4.926243521950462,-7.305088043212891,-3.139373302459717,12.30508804321289,1
230401,23,04,TARATA,01,TARATA,-4.893150329589844,-6.548187255859375,-3.6295764446258545,11.548187255859375,1
230408,23,04,TARATA,08,TICACO,-4.309867858886719,-6.163755893707275,0.49603426456451416,11.163755893707275,1
040514,04,05,CAYLLOMA,14,SAN ANTONIO DE CHUCA,-4.249320690448467,-5.131732940673828,-3.4052071571350098,10.131732940673828,1
230201,23,02,CANDARAVE,01,CANDARAVE,-4.202588288680367,-6.802698135375977,1.5447320938110352,11.802698135375977,1
210707,21,07,LAMPA,07,PARATIA,-4.107042165902945,-4.724353790283203,-3.356672763824463,9.724353790283203,1
080802,08,08,ESPINAR,02,CONDOROMA,-4.002339680989583,-4.542454719543457,-3.234743595123291,9.542454719543457,1
210405,21,04,CHUCUITO,05,PISACOMA,-3.4189818411162407,-4.88680362701416,-1.4255212545394897,9.88680362701416,1
180102,18,01,MARISCAL NIETO,02,CARUMAS,-3.2874041207229037,-5.968062400817871,3.9269776344299316,10.968062400817871,1
040119,04,01,AREQUIPA,19,SAN JUAN DE TARUCANI,-3.1893239974975587,-4.518263339996338,-2.048508405685425,9.518263339996338,1
210302,21,03,CARABAYA,02,AJOYANI,-3.177404550405649,-3.9154274463653564,-1.9961920976638794,8.915427446365356,1
210305,21,03,CARABAYA,05,CORANI,-3.1132830995501894,-4.853567123413086,-1.154718279838562,9.853567123413086,1
040518,04,05,CAYLLOMA,18,TUTI,-3.0433943612234935,-3.612306833267212,-2.5692503452301025,8.612306833267212,1
